"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C11,C15,C6,C11,C7";"CP_EIA-1608-08_AVX-J";5;"1u";;;
2;"C21,C19,C25,C13,C20,C26,C23";"CP_EIA-1608-08_AVX-J";7;"470nF";;;
3;"R9,R14,R15,R11";"R_0201_0603Metric";4;"100k";;;
4;"C22,C18,C16";"CP_EIA-1608-08_AVX-J";3;"100nF";;;
5;"C24,C12";"CP_EIA-1608-08_AVX-J";2;"100n";;;
6;"C10,C10";"CP_EIA-1608-08_AVX-J";2;"4.7u";;;
7;"H2,H1,H4,H3";"MountingHole_2.1mm";4;"MountingHole";;;
8;"ANT1";"1575AT43A0040E";1;"1575AT43A0040E";;;
9;"L5,L2,L7,L8,L6";"L_Axial_L5.3mm_D2.2mm_P7.62mm_Horizontal_Vishay_IM-1";5;"1uH";;;
10;"U3";"SOT-223-3_TabPin2";1;"LT1963AxST-1.8";;;
11;"R2,R8";"R_0201_0603Metric";2;"5k";;;
12;"R6";"R_0201_0603Metric";1;"50k";;;
13;"R16,R10";"R_0201_0603Metric";2;"470k";;;
14;"R1,R3,R12";"R_0201_0603Metric";3;"100R";;;
15;"C14";"CP_EIA-1608-08_AVX-J";1;"470nf";;;
16;"D2";"LED_D3.0mm";1;"RED";;;
17;"C4,C5";"CP_EIA-1608-08_AVX-J";2;"21p";;;
18;"L3,L4";"L_Axial_L5.3mm_D2.2mm_P7.62mm_Horizontal_Vishay_IM-1";2;"15uH";;;
19;"C9,C9";"CP_EIA-1608-08_AVX-J";2;"0.5p";;;
20;"C27";"CP_EIA-1608-08_AVX-J";1;"1n";;;
21;"R4";"R_0201_0603Metric";1;"1k";;;
22;"U2";"Skyworks_SKY65404-31";1;"SKY65404";;;
23;"IC6";"74AVC9112GTX";1;"74LVC2G00";;;
24;"IC5,IC2";"SOT95P280X145-5N";2;"TL081HIDBVR";;;
25;"ANT2";"A10340";1;"A10340";;;
26;"IC3";"QFN50P400X400X100-25N-D";1;"SX1268";;;
27;"J1";"JAE_DX07S016JA1R1500";1;"DX07S016JA1R1500";;;
28;"C8,C8";"CP_EIA-1608-08_AVX-J";2;"0.1u";;;
29;"TP";"TestPoint_Pad_2.0x2.0mm";1;"BATT+";;;
30;"C1,C17";"CP_EIA-1608-08_AVX-J";2;"100nf";;;
31;"Y2";"FC12M327680KDA0";1;"Crystal";;;
32;"TP2";"TestPoint_Pad_2.0x2.0mm";1;"BATT-";;;
33;"R7";"R_0201_0603Metric";1;"1k5";;;
34;"U4";"DGQ0010D_NV_N";1;"BQ24092";;;
35;"R5";"R_0201_0603Metric";1;"2k";;;
36;"STA8090FG";"BGA99C50P9X11_500X600X120";1;"STA8090FG";;;
37;"IC4";"SOT65P210X110-6N";1;"PE4259";;;
38;"L1";"L_Axial_L5.3mm_D2.2mm_P7.62mm_Horizontal_Vishay_IM-1";1;"0.6nH";;;
